,k,N_Points,Time
0,1,10500,0.05167222023010254
1,2,10500,0.10359501838684082
2,3,10500,0.130079984664917
3,4,10500,0.12944889068603516
4,5,10500,0.21185803413391113
5,6,10500,0.19209003448486328
6,7,10500,0.2434830665588379
7,8,10500,0.3475069999694824
8,9,10500,0.37682676315307617
9,10,10500,0.34743690490722656
10,11,10500,0.40485310554504395
11,12,10500,0.5179018974304199
12,13,10500,0.4954848289489746
13,14,10500,0.6228752136230469
14,15,10500,0.5794639587402344
15,16,10500,0.712162971496582
16,17,10500,0.8618869781494141
17,18,10500,0.824409008026123
18,19,10500,0.7454400062561035
19,20,10500,0.7574598789215088
20,21,10500,0.8369567394256592
21,22,10500,0.9036331176757812
22,23,10500,0.8716459274291992
23,24,10500,0.9055299758911133
24,25,10500,0.8659179210662842
25,26,10500,0.9774770736694336
26,27,10500,0.9744288921356201
27,28,10500,1.0835869312286377
28,29,10500,1.029449224472046
29,30,10500,1.1933951377868652
30,31,10500,1.3128740787506104
31,32,10500,1.2399177551269531
32,33,10500,1.2779810428619385
33,34,10500,1.2765529155731201
34,35,10500,1.3835690021514893
35,36,10500,1.2838990688323975
36,37,10500,1.273589849472046
37,38,10500,1.4324240684509277
38,39,10500,1.2885448932647705
39,40,10500,1.4937880039215088
40,41,10500,1.531383991241455
41,42,10500,1.3938329219818115
42,43,10500,1.5829830169677734
43,44,10500,1.5930821895599365
44,45,10500,1.5537641048431396
45,46,10500,1.8546812534332275
46,47,10500,1.7090191841125488
47,48,10500,1.681053876876831
48,49,10500,1.6798090934753418
49,50,10500,1.5703558921813965
50,51,10500,1.7518048286437988
51,52,10500,1.578200101852417
52,53,10500,1.6621119976043701
53,54,10500,1.7055330276489258
54,55,10500,1.647150993347168
55,56,10500,1.674942970275879
56,57,10500,1.7914021015167236
57,58,10500,1.7711760997772217
58,59,10500,1.8203108310699463
59,60,10500,1.8714349269866943
60,61,10500,1.8802490234375
61,62,10500,1.8965981006622314
62,63,10500,1.7210168838500977
63,64,10500,1.9842581748962402
64,65,10500,1.8904030323028564
65,66,10500,1.9128682613372803
66,67,10500,1.9561951160430908
67,68,10500,2.1250240802764893
68,69,10500,2.056313991546631
69,70,10500,1.8977429866790771
70,71,10500,2.1942360401153564
71,72,10500,2.1498241424560547
72,73,10500,2.225435972213745
73,74,10500,2.0381431579589844
74,75,10500,2.122206926345825
75,76,10500,2.2680442333221436
76,77,10500,2.160261869430542
77,78,10500,2.200942039489746
78,79,10500,2.1898980140686035
79,80,10500,2.2668538093566895
80,81,10500,2.3388431072235107
81,82,10500,2.2827229499816895
82,83,10500,2.1917190551757812
83,84,10500,2.465656042098999
84,85,10500,2.3798089027404785
85,86,10500,2.46549391746521
86,87,10500,2.4546151161193848
87,88,10500,2.319021224975586
88,89,10500,2.2998099327087402
89,90,10500,2.3325090408325195
90,91,10500,2.363884687423706
91,92,10500,2.5410408973693848
92,93,10500,2.396721124649048
93,94,10500,2.410719871520996
94,95,10500,2.678083658218384
95,96,10500,2.7791781425476074
96,97,10500,2.5848770141601562
97,98,10500,2.8167176246643066
98,99,10500,2.61141300201416
99,100,10500,2.535680055618286
